transition_num,sunset_or_sunrise,frame,full_timestamp,zhrs,exsecs
1,sunset,422769,2021-04-13T22:59:59.999461Z,13.9999998502599,16910.999461
2,sunrise,1322762,2021-04-14T08:59:59.998911Z,23.9999996974733,52910.998911
3,sunset,2582500,2021-04-14T22:59:59.977304Z,37.9999936955505,103310.977304
4,sunrise,3482494,2021-04-15T08:59:59.989772Z,47.9999971589115,139310.989772
5,sunset,4740922,2021-04-15T22:59:59.977066Z,61.9999936294556,189710.977066
6,sunrise,5640916,2021-04-16T08:59:59.981271Z,71.9999947975079,225710.981271
7,sunset,6894961,2021-04-16T22:59:59.971147Z,85.9999919852946,276110.971147
8,sunrise,7794955,2021-04-17T08:59:59.979900Z,95.9999944166342,312110.9799
9,sunset,9054946,2021-04-17T22:59:59.970234Z,109.999991731644,362510.970234
10,sunrise,9954940,2021-04-18T08:59:59.979093Z,119.999994192521,398510.979093
11,sunset,11214875,2021-04-18T22:59:59.977148Z,133.999993652238,448910.977148
12,sunrise,12114866,2021-04-19T08:59:59.976296Z,143.999993415541,484910.976296
13,sunset,13374856,2021-04-19T22:59:59.963913Z,157.999989975823,535310.963913
14,sunrise,14274849,2021-04-20T08:59:59.970282Z,167.999991745022,571310.970282
15,sunset,15534675,2021-04-20T22:59:59.964521Z,181.999990144703,621710.964521
16,sunrise,16434665,2021-04-21T08:59:59.967483Z,191.999990967512,657710.967483
17,sunset,17523578,2021-04-21T22:59:59.983692Z,205.999995469981,708110.983692
18,sunrise,18122207,2021-04-22T08:59:59.989026Z,215.999996951686,744110.989026
